ID,Pages,Views,Title,Summary
294126224,3,196,English Lesson Plan,"English Lesson Plan  This English lesson plan aims to help students understand refugees and asylum seekers through stories from Humans of New York (HONY). It will focus on a story about Muhammad, a Syrian refugee. Students will define key terms, discuss Muhammad's story, and do activities to empathize with refugees' experiences. They will consider ethical questions about Muhammad's situation and do a role-playing activity to discuss his perspective. For assessment, students will reflect on what it feels like to be a refugee and draft a journal entry as Muhammad. The lesson uses discussion, activities, and multimedia resources to engage students and help them empathize with refugees. Students will define key terms, discuss Muhammad's story, and do activities"
411766725,,45,English Lesson Plan,"English Lesson Plan  This English lesson plan focuses on family vocabulary. The 30-minute lesson includes introducing family members terms like mother, father, brother, and sister. Students will play games to help recognize these vocabulary words, such as a memory game using family term cards. They will also complete exercises matching family relations, like identifying that Homer is Bart's father. The lesson aims to help students recognize and talk about different family members."
389438055,13,181,Daily English Lesson Plan,"Daily English Lesson Plan  The English lesson plan focuses on teaching 5th grade students about natural disasters through listening, speaking, reading and critical thinking activities. The plan outlines introducing the topic of natural disasters using flashcards, reading an article about floods and having students answer questions, putting students into groups to read passages and discuss their understanding, and concluding with a reflection on what was learned. The plan aims to help students understand different types of natural disasters and disasters through integrated skills and thinking activities while promoting cooperation and language development. The plan outlines introducing the topic of natural disasters using flashcards, reading an article about floods and having students answer questions, putting students into groups to read passages and discuss their understanding, and concluding with a reflection on what"
173483996,,2K,English Lesson Plan Y4 Festivals,"English Lesson Plan Y4 Festivals  This English lesson plan focuses on teaching students about festivals in Malaysia. The plan outlines activities for students to learn about the main races in Malaysia, festivals each race celebrates, and greetings used during different festivals. Students will discuss festivals, answer questions, fill in blanks, and complete worksheets to develop their understanding and language skills. The goal is for students to learn about Malaysia's cultural diversity and live in unity and harmony. The goal is for students to learn about Malaysia's cultural diversity and live in unity"
413465414,3,414,Lesson Plan IN English Vi: San Nicolas Elementary School,"Lesson Plan IN English Vi: San Nicolas Elementary School  This lesson plan is for an English 6 class and focuses on evaluating narratives based on setting and character elements. The objectives are to evaluate stories based on how the author develops setting (time and place) and character (hero and villain). Students will also work on reading comprehension and oral reading fluency. The lesson involves pre-reading activities to understand the story elements, reading aloud the story ""The Ant and the Grasshopper"", answering comprehension questions, and group activities where students evaluate another story using posters and puzzles. Students will also work on reading comprehension"
387131861,3,400,English Lesson Plan Year 1 Cefr,"English Lesson Plan Year 1 Cefr  This document provides an English lesson plan for year 1 focusing on listening and speaking about friends. The plan includes the week, date, theme, language focus, learning standards, objectives, and outline. The lesson aims to teach pupils to ask and answer names of characters and say a chant with the class. Activities include looking at pictures, listening to a recording, pointing to names, practicing a chant, and making name labels. The plan evaluates pupils' achievement of learning objectives and allows for enrichment or remedial exercises. Activities include looking at pictures, listening to a"
195015412,4,484,ENGLISH LESSON PLAN Language Arts - Checked,"ENGLISH LESSON PLAN Language Arts - Checked  This English lesson plan aims to teach students about adjectives through an action song about the speaker's cousins and neighbor. The plan is divided into stages: induction to elicit prior knowledge, presentation of lyrics and singing, practice acting out adjectives, production with role playing in groups, and closure questioning. Students will learn adjectives like ""tall"", ""strong"", ""smart"", and ""brave"" and be able to perform the song with 80% accuracy. The plan integrates values of confidence, cooperation, and creativity. Students will learn adjectives like ""tall"", ""strong"", ""smart"", and ""brave"" and"
289304925,$eference:,146K,A Detailed Lesson Plan in English 4,"A Detailed Lesson Plan in English 4  The document provides a detailed English lesson plan on proper and common nouns for 4th grade students. The objectives are to identify proper and common nouns, write a paragraph about birthday wishes using nouns correctly, and understand the importance of nouns. The lesson plan includes an opening activity reviewing nouns, presenting a dialogue example, discussing the definition and examples of proper and common nouns, practicing identification, and evaluating understanding through matching and writing exercises applying nouns. The lesson plan includes an opening activity reviewing nouns, presenting a dialogue example, discussing the definition and examples of proper and common nouns, practicing identification,"
417221269,3,2K,Lesson Plan in English Grade 7-Everlasting,"Lesson Plan in English Grade 7-Everlasting  This lesson plan aims to teach 7th grade students about classifying different types of texts such as narrative, expository, explanation, recount, and persuasive. Various activities are used such as a 4-pics-1-word game to introduce the topic, a discussion of text types, and grouping activities where students practice creating examples of each type of text. The goal is for students to understand the purpose and structure of different text types to help them write more effectively. The goal is for students to understand the purpose and structure"
382142861,5,79,English Lesson Plan,"English Lesson Plan  This English lesson plan teaches students about the degrees of comparison of adjectives: positive, comparative, and superlative. It includes activities where students identify adjectives, form comparative and superlative degrees, and complete sentences using the correct degree of the adjective given. The lesson defines the positive degree as describing one thing, comparative for comparing two things, and superlative for comparing three or more things. Students are assigned to write sentences using various adjectives in their three degrees. Students are assigned to write sentences using various adjectives in their"
